id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
433195,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,441,972000
433196,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,392,864000
433197,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,441,972000
433198,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,416,918000
433199,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,318,702000
433200,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,294,648000
433201,2/20/20,SOYBEANS,JAPAN,INTERIOR,INTERIOR,122,270000
433202,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,245,540000
433203,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,318,702000
433204,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,490,1080000
433205,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,122,270000
433206,2/20/20,SOYBEANS,JAPAN,INTERIOR,INTERIOR,49,108000
433207,2/20/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,416,918000
433208,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,1098,2420000
433209,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,200,440000
433210,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,10678,23540000
433211,2/20/20,WHEAT,NICARAGUA,MISSISSIPPI R.,EAST GULF,3767,8305720
433212,2/20/20,CORN,HONDURAS,MISSISSIPPI R.,EAST GULF,29919,65960600
433213,2/20/20,WHEAT,HONDURAS,MISSISSIPPI R.,EAST GULF,12478,27508760
433214,2/13/20,WHEAT,MEXICO,INTERIOR,INTERIOR,2096,4620000
433215,2/20/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,367,810000
433216,2/20/20,SORGHUM,ITALY,INTERIOR,INTERIOR,49,108000
433217,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,399,880000
433218,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,269,594000
433219,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,245,540000
433220,2/20/20,WHEAT,PHILIPPINES,COLUMBIA R.,WEST COAST,23100,50926260
433221,2/20/20,WHEAT,JAPAN,INTERIOR,INTERIOR,318,702000
